Perkataan,Pecahan Suku Kata
bertukang,ber-tu-kang
bertukar,ber-tu-kar
bertulang,ber-tu-lang
bertunas,ber-tu-nas
bertuntun-tuntun,ber-tun-tun-tun-tun
bertutor,ber-tu-tor
bertutur,ber-tu-tur
beruang,be-ruang
beruangnya,be-ru-ang-nya
berubah-ubah,be-ru-bah-u-bah
berubat,be-ru-bat
berucap,be-ru-cap
beruk,be-ruk
berukun,be-ru-kun
berulam,be-ru-lam
berulang-kali,be-ru-lang-ka-li
berular,be-ru-lar
berumah,be-ru-mah
berumpun-rumpun,be-rum-pun-rum-pun
berumur,be-ru-mur
berunding,be-run-ding
berunggun,be-rung-gun
beruntong,be-run-tong
beruntun,be-run-tun
beruntun-runtun,be-run-tun-run-tun
beruntung,be-run-tung
berupa,be-ru-pa
berusaha,be-ru-sa-ha
berusia,be-ru-si-a
berwarna,ber-war-na
besar,be-sar
besi,be-si
bestari,bes-ta-ri
betah,be-tah
betapa,be-ta-pa
betara,be-ta-ra
betek,be-tek
betik,be-tik
betina,be-ti-na
betul,be-tul
beyla,bey-la
biak,bi-ak
biaknya,bi-ak-nya
bianglala,bi-ang-la-la
biar,bi-ar
biarkan,bi-ar-kan
biarlah,bi-ar-lah
biarpun,bi-ar-pun
biasa,bi-a-sa
biasa-biasa,bia-sa-bia-sa
biasan,bi-a-san
biasanya,bia-sa-nya
biaya,bi-a-ya
bicara,bi-ca-ra
bidai,bi-dai
bidang,bi-dang
bidukku,bi-duk-ku
bijak,bi-jak
bijan,bi-jan
biji,bi-ji
biji-bijian,bi-ji-bi-ji-an
biji-nya,bi-ji-nya
bijian,bi-ji-an
bijihan,bi-ji-han
bila,bi-la
bilakah,bi-la-kah
bimban,bim-ban
bimbang,bim-bang
bimbingannya,bim-bi-ngan-nya
binaan,bi-na-an
binalah,bi-na-lah
bingkainya,bing-kai-nya
bingkas,bing-kas
bingung,bi-ngung
bini,bi-ni
binjai,bin-jai
bintan,bin-tan
bintang,bin-tang
biola,bi-o-la
birai,bi-rai
birat,bi-rat
biru,bi-ru
bisa,bi-sa
bistari,bis-ta-ri
bisu,bi-su
blakang,bla-kang
blauran,blau-ran
bodoh,bo-doh
bohong,bo-hong
bohongan,bo-ho-ngan
bola,bo-la
bolang,bo-lang
boleh,bo-leh
bolehlah,bo-leh-lah
bolos-bolos,bo-los-bo-los
bomi-nya,bo-mi-nya
bomo,bo-mo
bonda,bon-da
bongkak,bong-kak
bongkok,bong-kok
bonus,bo-nus
book,book
boria,bo-ri-a
bota,bo-ta
boya,bo-ya
brandy,brandy
brani,bra-ni
brapa,bra-pa
bratus,bra-tus
brotherhood,bro-ther-hood
buah,bu-ah
buahan,bua-han
buahlah,bu-ah-lah
buahnya,bu-ah-nya
bual,bu-al
bualan,bu-a-lan
buana,bu-a-na
buang,bu-ang
buangkok,bu-ang-kok
buanglah,bu-ang-lah
buas,buas
buas-buas,bu-as-bu-as
buat,bu-at
buatan,bu-a-tan
buatlah,bu-at-lah
buatmu,bu-at-mu
buatnya,bu-at-nya
buaya,bu-a-ya
bubu,bu-bu
bubuh,bu-buh
budak,bu-dak
budak-budak,bu-dak-bu-dak
budaya,bu-da-ya
budi,bu-di
budiman,bu-di-man
bui,bu-i
buih,bu-ih
bujang,bu-jang
bujur,bu-jur
buka,bu-ka
bukaan,bu-ka-an
bukan,bu-kan
bukan-nya,bu-kan-nya
bukanlah,bu-kan-lah
bukanlan,bu-kan-lan
bukannya,bu-kan-nya
bukau,bu-kau
bukit,bu-kit
bukit-bukau,bu-kit-bu-kau
bukti,buk-ti
buku,bu-ku
bulan,bu-lan
buleh,bu-leh
buleh-lah,bu-leh-lah
bulu,bu-lu
buluh,bu-luh
bumbung,bum-bung
bumi,bu-mi
bunga,bu-nga
bungah,bu-ngah
bunganya,bu-nga-nya
bungkusan,bung-ku-san
bunian,bu-ni-an
buntu,bun-tu
bunyi-nya,bu-nyi-nya
buram,bu-ram
burok,bu-rok
burong,bu-rong
bursa,bur-sa
buru,bu-ru
buruan,bu-ru-an
buruk,bu-ruk
burung,bu-rung
busana,bu-sa-na
busuk,bu-suk
busut,bu-sut
buyung,bu-yung
cabai,ca-bai
cabang,ca-bang
